Ticker,EnglishName,KoreanName,Sector
MDLZ,Mondelez International Inc,몬델리즈 인터내셔널,Consumer Defensive
AEP,American Electric Power Company Inc,아메리칸 일렉트릭 파워,Utilities
NTES,NetEase Inc ADR,넷이즈,Communication Services
MNST,Monster Beverage Corp,몬스터 베버리지,Consumer Defensive
ROST,Ross Stores Inc,로스 스토어스,Consumer Cyclical
WBD,Warner Bros Discovery Inc,워너 브라더스 디스커버리,Communication Services
CTAS,Cintas Corp,신타스,Industrials
DASH,DoorDash Inc,도어대시,Consumer Cyclical
HOOD,Robinhood Markets Inc,로빈후드 마켓츠,Financial Services
PCAR,Paccar Inc,파카,Industrials
FTNT,Fortinet Inc,포티넷,Technology
BKR,Baker Hughes Co,베이커 휴즈,Energy
MPWR,Monolithic Power Systems Inc,모놀리식 파워 시스템즈,Technology
LITE,Lumentum Holdings Inc,루멘텀 홀딩스,Technology
MDLN,Medline Inc,메드라인,Healthcare
FANG,Diamondback Energy Inc,다이아몬드백 에너지,Energy
FAST,Fastenal Co,패스널,Industrials
EA,Electronic Arts Inc,일렉트로닉 아츠,Communication Services
XEL,Xcel Energy Inc,엑셀 에너지,Utilities
EXC,Exelon Corp,엑셀론,Utilities
TER,Teradyne Inc,테라다인,Technology
ADSK,Autodesk Inc,오토데스크,Technology
NXPI,NXP Semiconductors NV,NXP 반도체,Technology
NDAQ,Nasdaq Inc,나스닥,Financial Services
FER,Ferrovial SE,페로비알,Industrials
ARGX,argenx SE ADR,아젠엑스,Healthcare
COIN,Coinbase Global Inc,코인베이스,Financial Services
IDXX,IDEXX Laboratories Inc,아이덱스 래버러토리스,Healthcare
JD,JD.com Inc ADR,징둥닷컴,Consumer Cyclical
CRWV,CoreWeave Inc,코어위브,Technology
FITB,Fifth Third Bancorp,피프스 서드 뱅코프,Financial Services
EBAY,eBay Inc,이베이,Consumer Cyclical
MSTR,Strategy Inc,스트래티지,Technology
ALNY,Alnylam Pharmaceuticals Inc,앨나일람 파마슈티컬스,Healthcare
ESLT,Elbit Systems Ltd,엘빗 시스템즈,Industrials
CCEP,Coca-Cola Europacific Partners PLC,코카콜라 유로퍼시픽 파트너스,Consumer Defensive
ODFL,Old Dominion Freight Line Inc,올드 도미니언 프레이트 라인,Industrials
PYPL,PayPal Holdings Inc,페이팔,Financial Services
DDOG,Datadog Inc,데이터독,Technology
TRI,Thomson Reuters Corp,톰슨로이터,Industrials
RKLB,Rocket Lab Corp,로켓랩,Industrials
BIDU,Baidu Inc ADR,바이두,Communication Services
ROP,Roper Technologies Inc,로퍼 테크놀로지스,Technology
TTWO,Take-Two Interactive Software Inc,테이크투 인터랙티브 소프트웨어,Communication Services
MCHP,Microchip Technology Inc,마이크로칩 테크놀로지,Technology
SATS,EchoStar Corp,에코스타,Communication Services
ASTS,AST SpaceMobile Inc,AST 스페이스모바일,Technology
ERIC,Telefonaktiebolaget LM Ericsson ADR,에릭슨,Technology
VOD,Vodafone Group PLC ADR,보다폰,Communication Services
INSM,Insmed Inc,인스메드,Healthcare
KDP,Keurig Dr Pepper Inc,큐리그 닥터페퍼,Consumer Defensive
ACGL,Arch Capital Group Ltd,아치 캐피털 그룹,Financial Services
ONC,BeOne Medicines AG ADR,비원 메디슨스,Healthcare
TCOM,Trip.com Group Ltd ADR,트립닷컴 그룹,Consumer Cyclical
PAYX,Paychex Inc,페이첵스,Technology
WDAY,Workday Inc,워크데이,Technology
HBAN,Huntington Bancshares Inc,헌팅턴 뱅크셰어스,Financial Services
CPRT,Copart Inc,코파트,Industrials
GEHC,GE Healthcare Technologies Inc,GE 헬스케어 테크놀로지스,Healthcare
CHTR,Charter Communications Inc,차터 커뮤니케이션즈,Communication Services
SYM,Symbotic Inc,심보틱,Industrials
KMB,Kimberly-Clark Corp,킴벌리클라크,Consumer Defensive
RYAAY,Ryanair Holdings PLC ADR,라이언에어 홀딩스,Industrials
AXON,Axon Enterprise Inc,액손 엔터프라이즈,Industrials
NBIS,Nebius Group NV,네비우스 그룹,Communication Services
NTRA,Natera Inc,나테라,Healthcare
FISV,Fiserv Inc,파이서브,Unknown
CTSH,Cognizant Technology Solutions Corp,코그니전트 테크놀로지 솔루션즈,Technology
UAL,United Airlines Holdings Inc,유나이티드 에어라인즈 홀딩스,Industrials
KHC,Kraft Heinz Co,크래프트 하인즈,Consumer Defensive
EXPE,Expedia Group Inc,익스피디아 그룹,Consumer Cyclical
CASY,Caseys General Stores Inc,케이시스 제너럴 스토어스,Consumer Cyclical
RPRX,Royalty Pharma PLC,로열티 파마,Healthcare
NTRS,Northern Trust Corp,노던 트러스트,Financial Services
WTW,Willis Towers Watson PLC,윌리스 타워스 왓슨,Financial Services
TW,Tradeweb Markets Inc,트레이드웹 마켓츠,Financial Services
BIIB,Biogen Inc,바이오젠,Healthcare
STLD,Steel Dynamics Inc,스틸 다이내믹스,Basic Materials
VRSN,VeriSign  Inc,베리사인,Technology
ON,ON Semiconductor Corp,온세미,Technology
FLEX,Flex Ltd,플렉스,Technology
CINF,Cincinnati Financial Corp,신시내티 파이낸셜,Financial Services
UTHR,United Therapeutics Corp,유나이티드 테라퓨틱스,Healthcare
ZM,Zoom Communications Inc,줌 커뮤니케이션즈,Technology
FTAI,FTAI Aviation Ltd,FTAI 에비에이션,Industrials
EXE,Expand Energy Corp,익스팬드 에너지,Energy
DXCM,Dexcom Inc,덱스컴,Healthcare
GFS,GlobalFoundries Inc,글로벌파운드리스,Technology
LPLA,LPL Financial Holdings Inc,엘피엘 파이낸셜 홀딩스,Financial Services
VRSK,Verisk Analytics Inc,베리스크 애널리틱스,Industrials
ULTA,Ulta Beauty Inc,얼타 뷰티,Consumer Cyclical
TSCO,Tractor Supply Co,트랙터 서플라이,Consumer Cyclical
ZS,Zscaler Inc,지스케일러,Technology
BNTX,Biontech SE ADR,바이오엔테크,Healthcare
WWD,Woodward Inc,우드워드,Industrials
RGLD,Royal Gold Inc,로열 골드,Basic Materials
SBAC,SBA Communications Corp,SBA 커뮤니케이션즈,Real Estate
TSEM,Tower Semiconductor Ltd,타워 세미컨덕터,Technology
DLTR,Dollar Tree Inc,달러 트리,Consumer Defensive
FCNCA,First Citizens BancShares Inc (Delaware),퍼스트 시티즌스 뱅크셰어스,Financial Services
FSLR,First Solar Inc,퍼스트 솔라,Technology
JBHT,J B Hunt Transport Services Inc,제이비 헌트 트랜스포트 서비스,Industrials
SOFI,SoFi Technologies Inc,소파이 테크놀로지스,Financial Services
MDB,MongoDB Inc,몽고DB,Technology
ALAB,Astera Labs  Inc,아스테라 랩스,Technology
LI,Li Auto Inc ADR,리 오토,Consumer Cyclical
MRNA,Moderna Inc,모더나,Healthcare
ROIV,Roivant Sciences Ltd,로이반트 사이언시스,Healthcare
PFG,Principal Financial Group Inc,프린시펄 파이낸셜 그룹,Financial Services
CRDO,Credo Technology Group Holding Ltd,크레도 테크놀로지 그룹 홀딩,Technology
FUTU,Futu Holdings Ltd ADR,푸투 홀딩스,Financial Services
CHRW,CH Robinson Worldwide Inc,씨에이치 로빈슨 월드와이드,Industrials
TROW,T Rowe Price Group Inc,티 로우 프라이스 그룹,Financial Services
ILMN,Illumina Inc,일루미나,Healthcare
NTAP,NetApp Inc,넷앱,Technology
RVMD,Revolution Medicines Inc,레볼루션 메디슨스,Healthcare
EVRG,Evergy Inc,에버지,Utilities
LNT,Alliant Energy Corp,앨리언트 에너지,Utilities
INCY,Incyte Corp,인사이트,Healthcare
RIVN,Rivian Automotive Inc,리비안 오토모티브,Consumer Cyclical
ENTG,Entegris Inc,엔테그리스,Technology
MTSI,MACOM Technology Solutions Holdings Inc,MACOM 테크놀로지 솔루션즈 홀딩스,Technology
LULU,Lululemon Athletica Inc,룰루레몬 애슬레티카,Consumer Cyclical
FFIV,F5 Inc,에프5,Technology
PTC,PTC Inc,프트크,Technology
TEAM,Atlassian Corp,아틀라시안,Technology
GMAB,Genmab A/S ADR,젠맙,Healthcare
CG,Carlyle Group Inc,칼라일 그룹,Financial Services
HOLX,Hologic Inc,홀로직,Healthcare
VNOM,Viper Energy Inc,바이퍼 에너지,Energy
AKAM,Akamai Technologies Inc,아카마이 테크놀로지스,Technology
SSNC,SS&C Technologies Holdings Inc,SS&C 테크놀로지스 홀딩스,Technology
CSGP,Costar Group Inc,코스타 그룹,Real Estate
NXT,Nextpower Inc,넥스트파워,Technology
MKSI,MKS Incorporated,엠케이에스,Technology
CDW,CDW Corp,CDW,Technology
HTHT,H World Group Ltd ADR,H 월드 그룹,Consumer Cyclical
AFRM,Affirm Holdings Inc,어펌 홀딩스,Financial Services
CHKP,Check Point Software Technologies Ltd,체크 포인트 소프트웨어 테크놀로지스,Technology
VTRS,Viatris Inc,비아트리스,Healthcare
EWBC,East West Bancorp Inc,이스트 웨스트 뱅코프,Financial Services
APA,APA Corp (US),에이피에이,Energy
TRMB,Trimble Inc,트림블,Technology
TLN,Talen Energy Corp,탈렌 에너지,Utilities
LOGI,Logitech International SA,로지텍,Technology
SMMT,Summit Therapeutics Inc,서밋 테라퓨틱스,Healthcare
NDSN,Nordson Corp,노드슨,Industrials
TPG,TPG Inc,티피지,Financial Services
ROKU,Roku Inc,로쿠,Communication Services
MEDP,Medpace Holdings Inc,메드페이스,Healthcare
GRAB,Grab Holdings Ltd,그랩,Technology
IREN,IREN Ltd,아이렌,Financial Services
REG,Regency Centers Corp,리젠시 센터스,Real Estate
WMG,Warner Music Group Corp,워너 뮤직 그룹,Communication Services
KSPI,Kaspi.kz AO ADR,카스피,Technology
NVMI,Nova Ltd,노바,Technology
OKTA,Okta Inc,옥타,Technology
PODD,Insulet Corp,인슐렛,Healthcare
BBIO,BridgeBio Pharma Inc,브리지바이오 파마,Healthcare
RGC,Regencell Bioscience Holdings Ltd,리젠셀 바이오사이언스 홀딩스,Healthcare
ASND,Ascendis Pharma A/S ADR,아센디스 파마,Healthcare
SMCI,Super Micro Computer Inc,슈퍼 마이크로 컴퓨터,Technology
PAYP,PayPay Corp ADR,페이페이,Technology
COO,Cooper Companies Inc,쿠퍼 컴퍼니즈,Healthcare
KTOS,Kratos Defense and Security Solutions Inc,크라토스 디펜스 앤드 시큐리티 솔루션스,Industrials
TIGO,Millicom International Cellular SA,밀리콤 인터내셔널 셀룰러,Communication Services
LECO,Lincoln Electric Holdings Inc,링컨 일렉트릭 홀딩스,Industrials
LSCC,Lattice Semiconductor Corp,래티스 세미컨덕터,Technology
NBIX,Neurocrine Biosciences Inc,뉴로크린 바이오사이언시스,Healthcare
HST,Host Hotels and Resorts  Inc,호스트 호텔스 앤드 리조트,Real Estate
COKE,Coca-Cola Consolidated Inc,코카콜라 콘솔리데이티드,Consumer Defensive
LAMR,Lamar Advertising Co,라마 애드버타이징,Real Estate
GLPI,Gaming and Leisure Properties Inc,게이밍 앤드 레저 프로퍼티스,Real Estate
ERIE,Erie Indemnity Co,이리 인뎀니티,Financial Services
ARCC,Ares Capital Corp,아레스 캐피털,Financial Services
AEIS,Advanced Energy Industries Inc,어드밴스드 에너지 인더스트리스,Industrials
HAS,Hasbro Inc,해즈브로,Consumer Cyclical
FIVE,Five Below Inc,파이브 빌로우,Consumer Cyclical
DPZ,Domino's Pizza Inc,도미노스 피자,Consumer Cyclical
SOLS,Solstice Advanced Materials Inc,솔스티스 어드밴스드 머티리얼스,Basic Materials
DRS,Leonardo DRS Inc,레오나르도 DRS,Industrials
GH,Guardant Health Inc,가던트 헬스,Healthcare
IONS,Ionis Pharmaceuticals Inc,아이오니스 파마슈티컬스,Healthcare
PSKY,Paramount Skydance Corp,파라마운트 스카이댄스,Communication Services
FOX,Fox Corp Class B,폭스,Communication Services
FOXA,Fox Corp Class A,폭스,Communication Services
ALGN,Align Technology Inc,얼라인 테크놀로지,Healthcare
AMKR,Amkor Technology Inc,앰코 테크놀로지,Technology
JAZZ,Jazz Pharmaceuticals PLC,재즈 파마슈티컬스,Healthcare
MDGL,Madrigal Pharmaceuticals Inc,마드리갈 파마슈티컬스,Healthcare
STRL,Sterling Infrastructure Inc,스털링 인프라스트럭처,Industrials
ENSG,Ensign Group Inc,엔사인 그룹,Healthcare
GEN,Gen Digital Inc,젠 디지털,Technology
JKHY,Jack Henry & Associates Inc,잭 헨리 앤드 어소시에이츠,Technology
EXEL,Exelixis Inc,엑셀릭시스,Healthcare
DKNG,Draftkings Inc,드래프트킹스,Consumer Cyclical
AGNC,AGNC Investment Corp,에이지엔씨 인베스트먼트,Real Estate
SFD,Smithfield Foods Inc,스미스필드 푸즈,Consumer Defensive
BMRN,BioMarin Pharmaceutical Inc,바이오마린 파마슈티컬,Healthcare
TXRH,Texas Roadhouse Inc,텍사스 로드하우스,Consumer Cyclical
NTNX,Nutanix Inc,뉴타닉스,Technology
WYNN,Wynn Resorts Ltd,윈 리조트,Consumer Cyclical
BSY,Bentley Systems  Inc,벤틀리 시스템즈,Technology
TTMI,TTM Technologies Inc,티티엠 테크놀로지스,Technology
ZBRA,Zebra Technologies Corp,지브라 테크놀로지스,Technology
SAIA,Saia Inc,사이아,Industrials
RMBS,Rambus Inc,램버스,Technology
CART,Maplebear Inc,메이플베어,Consumer Cyclical
TTD,Trade Desk Inc,트레이드 데스크,Communication Services
SITM,SiTime Corp,사이타임,Technology
XP,XP Inc,엑스피,Financial Services
IESC,IES Holdings Inc,아이이에스 홀딩스,Industrials
ENLT,Enlight Renewable Energy Ltd,엔라이트 리뉴어블 에너지,Utilities
GSAT,Globalstar Inc,글로벌스타,Communication Services
AVAV,AeroVironment Inc,에어로바이런먼트,Industrials
VFS,VinFast Auto Ltd,빈패스트 오토,Consumer Cyclical
WTFC,Wintrust Financial Corp,윈트러스트 파이낸셜,Financial Services
FRHC,Freedom Holding Corp,프리덤 홀딩스,Financial Services
MASI,Masimo Corp,마시모,Healthcare
DOCU,DocuSign Inc,도큐사인,Technology
BPOP,Popular Inc,포퓰러,Financial Services
SEIC,SEI Investments Co,에스이아이 인베스트먼트,Financial Services
NWSA,News Corp Class A,뉴스 코프,Communication Services
CAR,Avis Budget Group Inc,에이비스 버짓 그룹,Industrials
VIAV,Viavi Solutions Inc,비아비 솔루션즈,Technology
CELH,Celsius Holdings Inc,셀시우스 홀딩스,Consumer Defensive
UMBF,UMB Financial Corp,유엠비 파이낸셜,Financial Services
AAOI,Applied Optoelectronics Inc,어플라이드 옵토일렉트로닉스,Technology
PCVX,Vaxcyte Inc,백스사이트,Healthcare
ONB,Old National Bancorp,올드 내셔널 뱅코프,Financial Services
ZION,Zions Bancorporation NA,자이언스 뱅코퍼레이션,Financial Services
LFUS,Littelfuse Inc,리틀퓨즈,Technology
CGNX,Cognex Corp,코그넥스,Technology
AXSM,Axsome Therapeutics Inc,액섬 테라퓨틱스,Healthcare
FCFS,Firstcash Holdings Inc,퍼스트캐시 홀딩스,Financial Services
ABVX,Abivax SA ADR,아비백스,Healthcare
ARWR,Arrowhead Pharmaceuticals Inc,애로우헤드 파마슈티컬스,Healthcare
PRAX,Praxis Precision Medicines Inc,프랙시스 프리시전 메디슨스,Healthcare
HSIC,Henry Schein Inc,헨리 샤인,Healthcare
PPC,Pilgrims Pride Corp,필그림스 프라이드,Consumer Defensive
BTSG,Brightspring Health Services Inc,브라이트스프링 헬스 서비스,Healthcare
TECH,Bio-Techne Corp,바이오테크네,Healthcare
TEM,Tempus AI Inc,템퍼스 AI,Healthcare
SWKS,Skyworks Solutions Inc,스카이웍스 솔루션즈,Technology
CHRD,Chord Energy Corp,코드 에너지,Energy
FORM,FormFactor Inc,폼팩터,Technology
ICLR,ICON PLC,아이콘,Healthcare
IDCC,InterDigital Inc,인터디지털,Technology
CYTK,Cytokinetics Inc,사이토키네틱스,Healthcare
TTEK,Tetra Tech Inc,테트라 테크,Industrials
NUVL,Nuvalent  Inc,뉴밸런트,Healthcare
COLB,Columbia Banking System Inc,컬럼비아 뱅킹 시스템,Financial Services
AUR,Aurora Innovation Inc,오로라 이노베이션,Technology
MANH,Manhattan Associates Inc,맨해튼 어소시에이츠,Technology
BOKF,BOK Financial Corp,BOK 파이낸셜,Financial Services
SIRI,Sirius XM Holdings Inc,시리우스 XM 홀딩스,Communication Services
KRYS,Krystal Biotech Inc,크리스털 바이오텍,Healthcare
SMTC,Semtech Corp,셈텍,Technology
BILI,Bilibili Inc ADR,빌리빌리,Communication Services
GDS,GDS Holdings Ltd ADR,GDS 홀딩스,Technology
Z,Zillow Group Inc Class C,질로우 그룹,Communication Services
HALO,Halozyme Therapeutics Inc,할로자임 테라퓨틱스,Healthcare
CRUS,Cirrus Logic Inc,시러스 로직,Technology
AUGO,Aura Minerals Inc,아우라 미네랄스,Basic Materials
MTCH,Match Group Inc,매치 그룹,Communication Services
LINE,Lineage Inc,리니지,Real Estate
CAMT,Camtek Ltd,캠텍,Technology
POOL,Pool Corp,풀,Industrials
LKQ,LKQ Corp,엘케이큐,Consumer Cyclical
CHYM,Chime Financial Inc,차임 파이낸셜,Technology
POWL,Powell Industries Inc,파월 인더스트리스,Industrials
CBSH,Commerce Bancshares Inc,커머스 뱅크셰어스,Financial Services
VSAT,Viasat Inc,비아샛,Technology
SFM,Sprouts Farmers Market Inc,스프라우츠 파머스 마켓,Consumer Defensive
GLXY,Galaxy Digital Inc,갤럭시 디지털,Financial Services
VICR,Vicor Corp,바이코,Technology
SAIL,SailPoint Inc,세일포인트,Technology
QRVO,Qorvo Inc,코르보,Technology
SANM,Sanmina Corp,산미나,Technology
PEGA,Pegasystems Inc,페가시스템즈,Technology
DOX,Amdocs Ltd,암독스,Technology
AAL,American Airlines Group Inc,아메리칸 에어라인스 그룹,Industrials
SSRM,SSR Mining Inc,SSR 마이닝,Basic Materials
IBRX,Immunitybio Inc,이뮤니티바이오,Healthcare
APLD,Applied Digital Corp,어플라이드 디지털,Technology
LNW,Light & Wonder Inc,라이트 앤드 원더,Unknown
WULF,Terawulf Inc,테라울프,Financial Services
VLY,Valley National Bancorp,밸리 내셔널 뱅코프,Financial Services
KYMR,Kymera Therapeutics Inc,카이메라 테라퓨틱스,Healthcare
SLAB,Silicon Laboratories Inc,실리콘 래버러토리스,Technology
WFRD,Weatherford International PLC,웨더포드 인터내셔널,Energy
HQY,Healthequity Inc,헬스에퀴티,Healthcare
SNEX,StoneX Group Inc,스톤엑스 그룹,Financial Services
QMMM,QMMM Holdings Ltd,QMMM 홀딩스,Communication Services
MORN,Morningstar Inc,모닝스타,Financial Services
BLTE,Belite Bio Inc ADR,벨라이트 바이오,Healthcare
NICE,Nice Ltd ADR,나이스,Technology
ACLX,Arcellx Inc,아셀렉스,Healthcare
FIGR,Figure Technology Solutions Inc,피겨 테크놀로지 솔루션즈,Financial Services
PTGX,Protagonist Therapeutics Inc,프로태고니스트 테라퓨틱스,Healthcare
AAON,Aaon Inc,에이온,Industrials
FSV,FirstService Corp,퍼스트서비스,Real Estate
CENX,Century Aluminum Co,센추리 알루미늄,Basic Materials
RGEN,Repligen Corp,레플리젠,Healthcare
MIDD,Middleby Corp,미들비,Industrials
BZ,Kanzhun Ltd ADR,칸준,Communication Services
MKTX,Marketaxess Holdings Inc,마켓액세스 홀딩스,Financial Services
CPB,Campbell's Co,캠벨스,Consumer Defensive
CHDN,Churchill Downs Inc,처칠다운스,Consumer Cyclical
ALGM,Allegro Microsystems Inc,알레그로 마이크로시스템즈,Technology
APGE,Apogee Therapeutics Inc,아포지 테라퓨틱스,Healthcare
CNTA,Centessa Pharmaceuticals PLC ADR,센테사 파마슈티컬스,Healthcare
TERN,Terns Pharmaceuticals Inc,턴스 파마슈티컬스,Healthcare
DBVT,Dbv Technologies SA ADR,DBV 테크놀로지스,Healthcare
MBLY,Mobileye Global Inc,모빌아이 글로벌,Consumer Cyclical
ROAD,Construction Partners Inc,컨스트럭션 파트너스,Industrials
GGAL,Grupo Financiero Galicia SA ADR,그루포 피난시에로 갈리시아,Financial Services
TTAN,ServiceTitan Inc,서비스타이탄,Technology
DSGX,Descartes Systems Group Inc,데카르트 시스템즈 그룹,Technology
LGN,Legence Corp,레전스,Industrials
UBSI,United Bankshares Inc,유나이티드 뱅크셰어스,Financial Services
RYTM,Rhythm Pharmaceuticals Inc,리듬 파마슈티컬스,Healthcare
HUT,Hut 8 Corp,헛8,Financial Services
ACT,Enact Holdings Inc,이낵트 홀딩스,Financial Services
CGON,CG Oncology Inc,씨지 온콜로지,Healthcare
FROG,Jfrog Ltd,제이프로그,Technology
OLLI,Ollie's Bargain Outlet Holdings Inc,올리스 바겐 아울렛 홀딩스,Consumer Defensive
RRR,Red Rock Resorts Inc,레드 록 리조트,Consumer Cyclical
CBC,Central Bancompany Inc,센트럴 뱅컴퍼니,Financial Services
COGT,Cogent Biosciences Inc,코전트 바이오사이언시스,Healthcare
MIRM,Mirum Pharmaceuticals Inc,미럼 파마슈티컬스,Healthcare
PTCT,PTC Therapeutics Inc,피티씨 테라퓨틱스,Healthcare
MWH,Solv Energy Inc,솔브 에너지,Utilities
SRRK,Scholar Rock Holding Corp,스칼라 록 홀딩,Healthcare
NXST,Nexstar Media Group Inc,넥스타 미디어 그룹,Communication Services
PCTY,Paylocity Holding Corp,페이로시티 홀딩,Technology
FLY,Firefly Aerospace Inc,파이어플라이 에어로스페이스,Industrials
CIFR,Cipher Digital Inc,사이퍼 디지털,Technology
LSTR,Landstar System Inc,랜드스타 시스템,Industrials
APPF,Appfolio Inc,앱폴리오,Technology
STEP,StepStone Group Inc,스텝스톤 그룹,Financial Services
CELC,Celcuity Inc,셀큐이티,Healthcare
BRKR,Bruker Corp,브루커,Healthcare
PLXS,Plexus Corp,플렉서스,Technology
OTEX,Open Text Corp,오픈텍스트,Technology
URBN,Urban Outfitters Inc,어반 아웃피터스,Consumer Cyclical
GLNG,Golar LNG Ltd,골라 LNG,Energy
CIGI,Colliers International Group Inc,콜리어스 인터내셔널 그룹,Real Estate
DBX,Dropbox Inc,드롭박스,Technology
ALKS,Alkermes Plc,알커메스,Healthcare
VSNT,Versant Media Group Inc,버샌트 미디어 그룹,Communication Services
LYFT,Lyft Inc,리프트,Technology
CWST,Casella Waste Systems Inc,카셀라 웨이스트 시스템즈,Industrials
BCPC,Balchem Corp,발켐,Basic Materials
CZR,Caesars Entertainment Inc,시저스 엔터테인먼트,Consumer Cyclical
HLNE,Hamilton Lane Inc,해밀턴 레인,Financial Services
RIOT,Riot Platforms Inc,라이엇 플랫폼스,Financial Services
TGTX,TG Therapeutics Inc,TG 테라퓨틱스,Healthcare
DOO,BRP Inc,비알피,Consumer Cyclical
XENE,Xenon Pharmaceuticals Inc,제논 파마슈티컬스,Healthcare
HWC,Hancock Whitney Corp,핸콕 휘트니,Financial Services
CORZ,Core Scientific Inc,코어 사이언티픽,Technology
ERAS,Erasca Inc,에라스카,Healthcare
CAI,Caris Life Sciences Inc,카리스 라이프 사이언시스,Healthcare
VSEC,VSE Corp,브이에스이,Industrials
APLS,Apellis Pharmaceuticals Inc,아펠리스 파마슈티컬스,Healthcare
NWS,News Corp Class B,뉴스 코프,Communication Services
UFPI,UFP Industries Inc,유에프피 인더스트리스,Basic Materials
GLBE,Global-E Online Ltd,글로벌이 온라인,Consumer Cyclical
OZK,Bank Ozk,뱅크 오지케이,Financial Services
EQPT,Equipmentshare.Com Inc,이큅먼트셰어,Industrials
AVT,Avnet Inc,애브넷,Technology
LNTH,Lantheus Holdings Inc,란테우스 홀딩스,Healthcare
SBRA,Sabra Health Care REIT Inc,사브라 헬스케어 리츠,Real Estate
BGC,Bgc Group Inc,비지씨 그룹,Financial Services
IMVT,Immunovant Inc,이뮤노반트,Healthcare
SRAD,Sportradar Group AG,스포트레이더 그룹,Technology
MEOH,Methanex Corp,메타넥스,Basic Materials
LUNR,Intuitive Machines Inc,인튜이티브 머신스,Industrials
ATAT,Atour Lifestyle Holdings Ltd ADR,아투어 라이프스타일 홀딩스,Consumer Cyclical
LAUR,Laureate Education Inc,로리엇 에듀케이션,Consumer Defensive
EXLS,Exlservice Holdings Inc,EXL서비스 홀딩스,Technology
IPGP,IPG Photonics Corp,아이피지 포토닉스,Technology
EMAT,Evolution Metals & Technologies Corp,에볼루션 메탈스 앤드 테크놀로지스,Basic Materials
FSLY,Fastly Inc,패슬리,Technology
CACC,Credit Acceptance Corp,크레딧 어셉턴스,Financial Services
